match_id,date,date_int,kickoff_at,team_1,team_2,teams_combined,stage,stadium_id,stadium_name,city,stadium_capacity,stadium_location,month,month_num,day,avg_temp_f,temp_category,weather_conditions,precipitation_chance,rain_risk,match_display,venue_display,weather_display,status,score,winner,summary
M_46,2026-06-23T00:00:00Z,20260623,16:00:00-04,England,Ghana,England|Ghana,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,23,73,mild,Sunny and Mild,14,low,England vs Ghana - Group Stage,Gillette Stadium Boston,73°F Sunny and Mild (14% rain),completed,0-0,Draw,A hard-fought draw ending 0-0 between England and Ghana.
M_47,2026-06-23T00:00:00Z,20260623,19:00:00-04,Panama,Croatia,Panama|Croatia,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,23,75,mild,Sunny and Mild,15,low,Panama vs Croatia - Group Stage,BMO Field Toronto,75°F Sunny and Mild (15% rain),completed,0-1,Croatia,Croatia secured a decisive victory over Panama with a final score of 0-1.
M_48,2026-06-23T00:00:00Z,20260623,22:00:00-06,Colombia,DR Congo,Colombia|DR Congo,Group Stage,S_14,Estadio Akron,Guadalajara,48071,POINT(-103.4628 20.6817),June,6,23,85,warm,"Warm, Evening Showers",41,medium,Colombia vs DR Congo - Group Stage,Estadio Akron Guadalajara,"85°F Warm, Evening Showers (41% rain)",completed,1-0,Colombia,Colombia secured a decisive victory over DR Congo with a final score of 1-0.
M_49,2026-06-24T00:00:00Z,20260624,15:00:00-07,Switzerland,Canada,Switzerland|Canada,Group Stage,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),June,6,24,64,cool,"Mild, Overcast Intervals",17,low,Switzerland vs Canada - Group Stage,BC Place Vancouver,"64°F Mild, Overcast Intervals (17% rain)",completed,2-1,Switzerland,Switzerland secured a decisive victory over Canada with a final score of 2-1.
M_50,2026-06-24T00:00:00Z,20260624,15:00:00-07,BiH,Qatar,BiH|Qatar,Group Stage,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),June,6,24,66,mild,"Pleasant, Partly Cloudy",13,low,BiH vs Qatar - Group Stage,Lumen Field Seattle,"66°F Pleasant, Partly Cloudy (13% rain)",completed,3-1,BiH,BiH secured a decisive victory over Qatar with a final score of 3-1.
M_51,2026-06-24T00:00:00Z,20260624,18:00:00-04,Scotland,Brazil,Scotland|Brazil,Group Stage,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),June,6,24,85,warm,"Tropical Humid, Rain Risks",44,medium,Scotland vs Brazil - Group Stage,Hard Rock Stadium Miami,"85°F Tropical Humid, Rain Risks (44% rain)",completed,0-3,Brazil,Brazil secured a decisive victory over Scotland with a final score of 0-3.
M_52,2026-06-24T00:00:00Z,20260624,18:00:00-04,Morocco,Haiti,Morocco|Haiti,Group Stage,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),June,6,24,82,warm,Warm and Humid,35,medium,Morocco vs Haiti - Group Stage,Mercedes-Benz Stadium Atlanta,82°F Warm and Humid (35% rain),completed,4-2,Morocco,Morocco secured a decisive victory over Haiti with a final score of 4-2.
M_53,2026-06-24T00:00:00Z,20260624,21:00:00-06,Czechia,Mexico,Czechia|Mexico,Group Stage,S_15,Estadio Azteca,Mexico City,87523,POINT(-99.1505 19.3029),June,6,24,73,mild,"Mild, Cloudy and Rainy",51,medium,Czechia vs Mexico - Group Stage,Estadio Azteca Mexico City,"73°F Mild, Cloudy and Rainy (51% rain)",completed,0-3,Mexico,Mexico secured a decisive victory over Czechia with a final score of 0-3.
M_54,2026-06-24T00:00:00Z,20260624,21:00:00-06,South Africa,South Korea,South Africa|South Korea,Group Stage,S_16,Estadio BBVA,Monterrey,53500,POINT(-100.2444 25.67),June,6,24,93,hot,"Very Hot, Sunny",22,low,South Africa vs South Korea - Group Stage,Estadio BBVA Monterrey,"93°F Very Hot, Sunny (22% rain)",completed,1-0,South Africa,South Africa secured a decisive victory over South Korea with a final score of 1-0.
M_55,2026-06-25T00:00:00Z,20260625,16:00:00-04,Curaçao,Côte d'Ivoire,Curaçao|Côte d'Ivoire,Group Stage,S_9,Lincoln Financial Field,Philadelphia,69796,POINT(-75.1675 39.9012),June,6,25,83,warm,"Warm, Clear Skies",28,low,Curaçao vs Côte d'Ivoire - Group Stage,Lincoln Financial Field Philadelphia,"83°F Warm, Clear Skies (28% rain)",scheduled,,,
M_56,2026-06-25T00:00:00Z,20260625,16:00:00-04,Ecuador,Germany,Ecuador|Germany,Group Stage,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),June,6,25,76,mild,Sunny and Warm,29,low,Ecuador vs Germany - Group Stage,MetLife Stadium New York/New Jersey,76°F Sunny and Warm (29% rain),scheduled,,,
M_57,2026-06-25T00:00:00Z,20260625,19:00:00-05,Japan,Sweden,Japan|Sweden,Group Stage,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),June,6,25,90,hot,Hot and Sunny,20,low,Japan vs Sweden - Group Stage,AT&T Stadium Dallas,90°F Hot and Sunny (20% rain),scheduled,,,
M_58,2026-06-25T00:00:00Z,20260625,19:00:00-05,Tunisia,Netherlands,Tunisia|Netherlands,Group Stage,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),June,6,25,79,mild,Partly Cloudy,31,medium,Tunisia vs Netherlands - Group Stage,Arrowhead Stadium Kansas City,79°F Partly Cloudy (31% rain),scheduled,,,
M_59,2026-06-25T00:00:00Z,20260625,22:00:00-07,Türkiye,USA,Türkiye|USA,Group Stage,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,25,72,mild,Clear and Sunny,7,low,Türkiye vs USA - Group Stage,SoFi Stadium Los Angeles,72°F Clear and Sunny (7% rain),scheduled,,,
M_60,2026-06-25T00:00:00Z,20260625,22:00:00-07,Paraguay,Australia,Paraguay|Australia,Group Stage,S_10,Levi's Stadium,San Francisco Bay Area,68500,POINT(-121.9698 37.4032),June,6,25,71,mild,Mild and Sunny,0,low,Paraguay vs Australia - Group Stage,Levi's Stadium San Francisco Bay Area,71°F Mild and Sunny (0% rain),scheduled,,,
M_61,2026-06-26T00:00:00Z,20260626,15:00:00-04,Norway,France,Norway|France,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,26,74,mild,Sunny and Mild,14,low,Norway vs France - Group Stage,Gillette Stadium Boston,74°F Sunny and Mild (14% rain),scheduled,,,
M_62,2026-06-26T00:00:00Z,20260626,15:00:00-04,Senegal,Iraq,Senegal|Iraq,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,26,76,mild,Sunny and Mild,15,low,Senegal vs Iraq - Group Stage,BMO Field Toronto,76°F Sunny and Mild (15% rain),scheduled,,,
M_63,2026-06-26T00:00:00Z,20260626,20:00:00-05,Cabo Verde,Saudi Arabia,Cabo Verde|Saudi Arabia,Group Stage,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,26,86,warm,"Humid, Afternoon Breezes",26,low,Cabo Verde vs Saudi Arabia - Group Stage,NRG Stadium Houston,"86°F Humid, Afternoon Breezes (26% rain)",scheduled,,,
M_64,2026-06-26T00:00:00Z,20260626,20:00:00-06,Uruguay,Spain,Uruguay|Spain,Group Stage,S_14,Estadio Akron,Guadalajara,48071,POINT(-103.4628 20.6817),June,6,26,80,warm,"Warm, Evening Showers",42,medium,Uruguay vs Spain - Group Stage,Estadio Akron Guadalajara,"80°F Warm, Evening Showers (42% rain)",scheduled,,,
M_65,2026-06-26T00:00:00Z,20260626,23:00:00-07,Egypt,IR Iran,Egypt|IR Iran,Group Stage,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),June,6,26,67,mild,"Pleasant, Partly Cloudy",13,low,Egypt vs IR Iran - Group Stage,Lumen Field Seattle,"67°F Pleasant, Partly Cloudy (13% rain)",scheduled,,,
M_66,2026-06-26T00:00:00Z,20260626,23:00:00-07,New Zealand,Belgium,New Zealand|Belgium,Group Stage,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),June,6,26,67,mild,"Mild, Overcast Intervals",19,low,New Zealand vs Belgium - Group Stage,BC Place Vancouver,"67°F Mild, Overcast Intervals (19% rain)",scheduled,,,
M_67,2026-06-27T00:00:00Z,20260627,17:00:00-04,Panama,England,Panama|England,Group Stage,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),June,6,27,80,warm,Sunny and Warm,25,low,Panama vs England - Group Stage,MetLife Stadium New York/New Jersey,80°F Sunny and Warm (25% rain),scheduled,,,
M_68,2026-06-27T00:00:00Z,20260627,17:00:00-04,Croatia,Ghana,Croatia|Ghana,Group Stage,S_9,Lincoln Financial Field,Philadelphia,69796,POINT(-75.1675 39.9012),June,6,27,82,warm,"Warm, Clear Skies",26,low,Croatia vs Ghana - Group Stage,Lincoln Financial Field Philadelphia,"82°F Warm, Clear Skies (26% rain)",scheduled,,,
M_69,2026-06-27T00:00:00Z,20260627,19:30:00-04,Colombia,Portugal,Colombia|Portugal,Group Stage,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),June,6,27,89,warm,"Tropical Humid, Rain Risks",47,medium,Colombia vs Portugal - Group Stage,Hard Rock Stadium Miami,"89°F Tropical Humid, Rain Risks (47% rain)",scheduled,,,
M_70,2026-06-27T00:00:00Z,20260627,19:30:00-04,DR Congo,Uzbekistan,DR Congo|Uzbekistan,Group Stage,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),June,6,27,79,mild,Warm and Humid,38,medium,DR Congo vs Uzbekistan - Group Stage,Mercedes-Benz Stadium Atlanta,79°F Warm and Humid (38% rain),scheduled,,,
M_71,2026-06-27T00:00:00Z,20260627,22:00:00-05,Algeria,Austria,Algeria|Austria,Group Stage,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),June,6,27,78,mild,Partly Cloudy,29,low,Algeria vs Austria - Group Stage,Arrowhead Stadium Kansas City,78°F Partly Cloudy (29% rain),scheduled,,,
M_72,2026-06-27T00:00:00Z,20260627,22:00:00-05,Jordan,Argentina,Jordan|Argentina,Group Stage,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),June,6,27,91,hot,Hot and Sunny,20,low,Jordan vs Argentina - Group Stage,AT&T Stadium Dallas,91°F Hot and Sunny (20% rain),scheduled,,,
M_73,2026-06-28T00:00:00Z,20260628,15:00:00-07,2A,2B,2A|2B,Round of 32,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,28,72,mild,Clear and Sunny,6,low,2A vs 2B - Round of 32,SoFi Stadium Los Angeles,72°F Clear and Sunny (6% rain),scheduled,,,
M_74,2026-06-29T00:00:00Z,20260629,13:00:00-05,1C,2F,1C|2F,Round of 32,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,29,90,hot,"Humid, Afternoon Breezes",37,medium,1C vs 2F - Round of 32,NRG Stadium Houston,"90°F Humid, Afternoon Breezes (37% rain)",scheduled,,,
M_75,2026-06-29T00:00:00Z,20260629,16:30:00-04,1E,3ABCDF,1E|3ABCDF,Round of 32,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,29,74,mild,Sunny and Mild,13,low,1E vs 3ABCDF - Round of 32,Gillette Stadium Boston,74°F Sunny and Mild (13% rain),scheduled,,,
M_76,2026-06-29T00:00:00Z,20260629,21:00:00-06,1F,2C,1F|2C,Round of 32,S_16,Estadio BBVA,Monterrey,53500,POINT(-100.2444 25.67),June,6,29,94,hot,"Very Hot, Sunny",14,low,1F vs 2C - Round of 32,Estadio BBVA Monterrey,"94°F Very Hot, Sunny (14% rain)",scheduled,,,
M_77,2026-06-30T00:00:00Z,20260630,13:00:00-05,2E,2I,2E|2I,Round of 32,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),June,6,30,89,warm,Hot and Sunny,10,low,2E vs 2I - Round of 32,AT&T Stadium Dallas,89°F Hot and Sunny (10% rain),scheduled,,,
M_78,2026-06-30T00:00:00Z,20260630,17:00:00-04,1I,3CDFGH,1I|3CDFGH,Round of 32,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),June,6,30,77,mild,Sunny and Warm,21,low,1I vs 3CDFGH - Round of 32,MetLife Stadium New York/New Jersey,77°F Sunny and Warm (21% rain),scheduled,,,
M_79,2026-06-30T00:00:00Z,20260630,21:00:00-06,1A,3CEFHI,1A|3CEFHI,Round of 32,S_15,Estadio Azteca,Mexico City,87523,POINT(-99.1505 19.3029),June,6,30,71,mild,"Mild, Cloudy and Rainy",47,medium,1A vs 3CEFHI - Round of 32,Estadio Azteca Mexico City,"71°F Mild, Cloudy and Rainy (47% rain)",scheduled,,,
M_80,2026-07-01T00:00:00Z,20260701,12:00:00-04,1L,3EHIJK,1L|3EHIJK,Round of 32,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),July,7,1,86,warm,Humid and Scattered Storms,43,medium,1L vs 3EHIJK - Round of 32,Mercedes-Benz Stadium Atlanta,86°F Humid and Scattered Storms (43% rain),scheduled,,,
M_81,2026-07-01T00:00:00Z,20260701,16:00:00-07,1G,3AEHIJ,1G|3AEHIJ,Round of 32,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),July,7,1,76,mild,Warm and Sunny,9,low,1G vs 3AEHIJ - Round of 32,Lumen Field Seattle,76°F Warm and Sunny (9% rain),scheduled,,,
M_82,2026-07-01T00:00:00Z,20260701,20:00:00-07,1D,3BEFIJ,1D|3BEFIJ,Round of 32,S_10,Levi's Stadium,San Francisco Bay Area,68500,POINT(-121.9698 37.4032),July,7,1,75,mild,"Clear, Evening Fog",2,low,1D vs 3BEFIJ - Round of 32,Levi's Stadium San Francisco Bay Area,"75°F Clear, Evening Fog (2% rain)",scheduled,,,
M_83,2026-07-02T00:00:00Z,20260702,15:00:00-07,1H,2J,1H|2J,Round of 32,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),July,7,2,80,warm,Clear and Warm,1,low,1H vs 2J - Round of 32,SoFi Stadium Los Angeles,80°F Clear and Warm (1% rain),scheduled,,,
M_84,2026-07-02T00:00:00Z,20260702,19:00:00-04,2K,2L,2K|2L,Round of 32,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),July,7,2,76,mild,Warm and Breezy,27,low,2K vs 2L - Round of 32,BMO Field Toronto,76°F Warm and Breezy (27% rain),scheduled,,,
M_85,2026-07-02T00:00:00Z,20260702,23:00:00-07,1B,3EFGIJ,1B|3EFGIJ,Round of 32,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),July,7,2,70,mild,Mild and Sunny,18,low,1B vs 3EFGIJ - Round of 32,BC Place Vancouver,70°F Mild and Sunny (18% rain),scheduled,,,
M_86,2026-07-03T00:00:00Z,20260703,14:00:00-05,2D,2G,2D|2G,Round of 32,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),July,7,3,95,hot,Extremely Hot,14,low,2D vs 2G - Round of 32,AT&T Stadium Dallas,95°F Extremely Hot (14% rain),scheduled,,,
M_87,2026-07-03T00:00:00Z,20260703,18:00:00-04,1J,2H,1J|2H,Round of 32,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),July,7,3,88,warm,"Tropical Heat, Thunderstorms",55,medium,1J vs 2H - Round of 32,Hard Rock Stadium Miami,"88°F Tropical Heat, Thunderstorms (55% rain)",scheduled,,,
M_88,2026-07-03T00:00:00Z,20260703,21:30:00-05,1K,3DEIJL,1K|3DEIJL,Round of 32,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),July,7,3,86,warm,Hot and Partly Cloudy,36,medium,1K vs 3DEIJL - Round of 32,Arrowhead Stadium Kansas City,86°F Hot and Partly Cloudy (36% rain),scheduled,,,
M_89,2026-07-04T00:00:00Z,20260704,13:00:00-05,W73,W75,W73|W75,Round of 16,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),July,7,4,95,hot,"Humid, Scattered Storms",47,medium,W73 vs W75 - Round of 16,NRG Stadium Houston,"95°F Humid, Scattered Storms (47% rain)",scheduled,,,
M_90,2026-07-04T00:00:00Z,20260704,17:00:00-04,W74,W77,W74|W77,Round of 16,S_9,Lincoln Financial Field,Philadelphia,69796,POINT(-75.1675 39.9012),July,7,4,88,warm,Humid and Sunny,23,low,W74 vs W77 - Round of 16,Lincoln Financial Field Philadelphia,88°F Humid and Sunny (23% rain),scheduled,,,
M_91,2026-07-05T00:00:00Z,20260705,16:00:00-04,W76,W78,W76|W78,Round of 16,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),July,7,5,81,warm,Humid and Sunny,24,low,W76 vs W78 - Round of 16,MetLife Stadium New York/New Jersey,81°F Humid and Sunny (24% rain),scheduled,,,
M_92,2026-07-05T00:00:00Z,20260705,20:00:00-06,W79,W80,W79|W80,Round of 16,S_15,Estadio Azteca,Mexico City,87523,POINT(-99.1505 19.3029),July,7,5,68,mild,"Rainy Season, Cool Nights",60,medium,W79 vs W80 - Round of 16,Estadio Azteca Mexico City,"68°F Rainy Season, Cool Nights (60% rain)",scheduled,,,
M_93,2026-07-06T00:00:00Z,20260706,15:00:00-05,W83,W84,W83|W84,Round of 16,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),July,7,6,95,hot,Extremely Hot,6,low,W83 vs W84 - Round of 16,AT&T Stadium Dallas,95°F Extremely Hot (6% rain),scheduled,,,
M_94,2026-07-06T00:00:00Z,20260706,20:00:00-07,W81,W82,W81|W82,Round of 16,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),July,7,6,75,mild,Warm and Sunny,7,low,W81 vs W82 - Round of 16,Lumen Field Seattle,75°F Warm and Sunny (7% rain),scheduled,,,
M_95,2026-07-07T00:00:00Z,20260707,12:00:00-04,W86,W88,W86|W88,Round of 16,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),July,7,7,87,warm,Humid and Scattered Storms,43,medium,W86 vs W88 - Round of 16,Mercedes-Benz Stadium Atlanta,87°F Humid and Scattered Storms (43% rain),scheduled,,,
M_96,2026-07-07T00:00:00Z,20260707,16:00:00-07,W85,W87,W85|W87,Round of 16,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),July,7,7,74,mild,Mild and Sunny,14,low,W85 vs W87 - Round of 16,BC Place Vancouver,74°F Mild and Sunny (14% rain),scheduled,,,
M_97,2026-07-09T00:00:00Z,20260709,16:00:00-04,W89,W90,W89|W90,Quarterfinals,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),July,7,9,82,warm,Warm and Pleasant,25,low,W89 vs W90 - Quarterfinals,Gillette Stadium Boston,82°F Warm and Pleasant (25% rain),scheduled,,,
M_98,2026-07-10T00:00:00Z,20260710,15:00:00-07,W93,W94,W93|W94,Quarterfinals,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),July,7,10,74,mild,Clear and Warm,1,low,W93 vs W94 - Quarterfinals,SoFi Stadium Los Angeles,74°F Clear and Warm (1% rain),scheduled,,,
M_99,2026-07-11T00:00:00Z,20260711,17:00:00-04,W91,W92,W91|W92,Quarterfinals,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),July,7,11,86,warm,"Tropical Heat, Thunderstorms",52,medium,W91 vs W92 - Quarterfinals,Hard Rock Stadium Miami,"86°F Tropical Heat, Thunderstorms (52% rain)",scheduled,,,
M_100,2026-07-11T00:00:00Z,20260711,21:00:00-05,W95,W100,W95|W100,Quarterfinals,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),July,7,11,84,warm,Hot and Partly Cloudy,33,medium,W95 vs W100 - Quarterfinals,Arrowhead Stadium Kansas City,84°F Hot and Partly Cloudy (33% rain),scheduled,,,
M_101,2026-07-14T00:00:00Z,20260714,15:00:00-05,W97,W98,W97|W98,Semifinals,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),July,7,14,96,hot,Extremely Hot,14,low,W97 vs W98 - Semifinals,AT&T Stadium Dallas,96°F Extremely Hot (14% rain),scheduled,,,
M_102,2026-07-15T00:00:00Z,20260715,15:00:00-04,W99,W100,W99|W100,Semifinals,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),July,7,15,87,warm,Humid and Scattered Storms,50,medium,W99 vs W100 - Semifinals,Mercedes-Benz Stadium Atlanta,87°F Humid and Scattered Storms (50% rain),scheduled,,,
M_103,2026-07-18T00:00:00Z,20260718,17:00:00-04,RU101,RU102,RU101|RU102,Third Place Playoff,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),July,7,18,90,hot,"Tropical Heat, Thunderstorms",56,medium,RU101 vs RU102 - Third Place Playoff,Hard Rock Stadium Miami,"90°F Tropical Heat, Thunderstorms (56% rain)",scheduled,,,
M_104,2026-07-19T00:00:00Z,20260719,15:00:00-04,W101,W102,W101|W102,Final,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),July,7,19,87,warm,Humid and Sunny,37,medium,W101 vs W102 - Final,MetLife Stadium New York/New Jersey,87°F Humid and Sunny (37% rain),scheduled,,,